A,B,C,D,E,F,G,H,I,J,K,L,Class
114403.5,115228.5,467.43405,1652.937,685.5621,320.121,1.32645,1.4892,1.14615,1.18395,3.2124,1.0227,P
135618,137068.5,508.93155,1859.5095,785.74095,331.7493,1.35975,1.4841,1.11045,1.10895,3.55275,0.97155,P
87832.5,89076,409.5702,1393.167,536.34105,315.2817,1.2135,1.479,1.02585,1.2795,2.55165,1.1454,M
126243,127165.5,491.0259,1718.247,698.08515,346.64805,1.302,1.48905,1.0422,1.209,3.0207,1.0551,P
152448,153618,539.58705,1984.9125,838.4697,348.2256,1.36455,1.4886,1.11765,1.0941,3.6117,0.96525,P
155452.5,158203.5,544.8783,2082.18,883.87425,337.23255,1.3866,1.4739,1.095,1.01385,3.9315,0.92475,P
110883,112156.5,460.18575,1624.758,641.65335,331.68945,1.284,1.4829,0.99345,1.1877,2.90175,1.0758,M
121486.5,122431.5,481.68675,1719.792,714.01095,326.86455,1.33365,1.48845,1.08375,1.1613,3.2766,1.0119,P
143460,145204.5,523.4391,1754.3175,646.7832,425.0826,1.13055,1.482,1.11555,1.3179,2.28225,1.21395,M
138172.5,139078.5,513.7023,1755.5295,699.62475,377.72865,1.26255,1.49025,1.03965,1.26765,2.7783,1.10145,P
106663.5,107541,451.3449,1535.073,604.4865,337.4355,1.24455,1.4877,1.0029,1.2798,2.6871,1.12005,M
101788.5,102967.5,440.91015,1592.661,661.8366,296.00055,1.3416,1.48275,1.09515,1.1346,3.35385,0.9993,P
121560,122856,481.8324,1653.102,626.66235,372.43245,1.2063,1.48425,1.10685,1.25775,2.5239,1.15335,M
123459,124239,485.5815,1588.665,585.83115,403.3617,1.0878,1.49055,1.09185,1.38315,2.1786,1.24335,M
129145.5,130719,496.63845,1712.4135,662.2116,374.6142,1.2369,1.482,1.0746,1.2453,2.65155,1.125,M
114432,115677,467.49225,1707.9615,719.376,307.0146,1.3566,1.4838,0.9897,1.1091,3.51465,0.97485,P
132990,133833,503.97645,1756.7295,710.11875,359.3976,1.29375,1.49055,1.0668,1.21845,2.96385,1.06455,P
129270,130734,496.8777,1810.5045,757.84425,327.22995,1.353,1.4832,0.96795,1.1151,3.47385,0.9834,P
